"RK","PLAYER NAME",TEAM,"POS","SOS SEASON","SOS PLAYOFFS","ECR VS. ADP"
"215","Sam Darnold",CAR,"QB30","4 out of 5 stars","4 out of 5 stars","-"
"216","Cincinnati Bengals",CIN,"DST13","3 out of 5 stars","3 out of 5 stars","+36"
"217","Tennessee Titans",TEN,"DST14","3 out of 5 stars","3 out of 5 stars","-14"
"218","Pittsburgh Steelers",PIT,"DST15","2 out of 5 stars","3 out of 5 stars","-35"
"219","Nick Folk",NE,"K10","4 out of 5 stars","4 out of 5 stars","-1"
"220","Kevin Harris",NE,"RB69","2 out of 5 stars","3 out of 5 stars","-"
"221","Noah Fant",SEA,"TE20","3 out of 5 stars","3 out of 5 stars","-44"
"222","Ty Johnson",NYJ,"RB70","5 out of 5 stars","5 out of 5 stars","-"
"223","Skyy Moore",KC,"WR78","2 out of 5 stars","2 out of 5 stars","-102"
"224","Davis Mills",HOU,"QB31","4 out of 5 stars","4 out of 5 stars","+6"
"225","Josh Reynolds",DET,"WR79","3 out of 5 stars","3 out of 5 stars","-"
"226","Matt Prater",ARI,"K11","2 out of 5 stars","3 out of 5 stars","-57"
"227","Marvin Jones Jr.",JAC,"WR80","3 out of 5 stars","4 out of 5 stars","+6"
"228","Indianapolis Colts",IND,"DST16","2 out of 5 stars","2 out of 5 stars","-87"
"229","Robert Tonyan",GB,"TE21","4 out of 5 stars","4 out of 5 stars","-64"
"230","DeeJay Dallas",SEA,"RB71","2 out of 5 stars","1 out of 5 stars","-"
"231","Daniel Bellinger",NYG,"TE22","4 out of 5 stars","3 out of 5 stars","+101"
"232","Jake Elliott",PHI,"K12","5 out of 5 stars","4 out of 5 stars","+32"
"233","Justice Hill",BAL,"RB72","4 out of 5 stars","4 out of 5 stars","-"
"234","Hunter Renfrow",LV,"WR81","3 out of 5 stars","3 out of 5 stars","-141"
"235","Nick Westbrook-Ikhine",TEN,"WR82","4 out of 5 stars","4 out of 5 stars","-"
"236","Matt Gay",LAR,"K13","5 out of 5 stars","4 out of 5 stars","-88"
"237","Cameron Dicker",LAC,"K14","4 out of 5 stars","3 out of 5 stars","-"
"238","Isaiah Spiller",LAC,"RB73","3 out of 5 stars","2 out of 5 stars","-78"
"239","Greg Zuerlein",NYJ,"K15","3 out of 5 stars","2 out of 5 stars","-"
"240","Washington Commanders",WAS,"DST17","2 out of 5 stars","2 out of 5 stars","-12"
"241","Tyler Higbee",LAR,"TE23","2 out of 5 stars","3 out of 5 stars","-66"
"242","Cleveland Browns",CLE,"DST18","5 out of 5 stars","4 out of 5 stars","-28"
"243","Greg Joseph",MIN,"K16","4 out of 5 stars","4 out of 5 stars","+6"
"244","Chase Edmonds",DEN,"RB74","3 out of 5 stars","3 out of 5 stars","-173"
"245","Darrynton Evans",CHI,"RB75","3 out of 5 stars","4 out of 5 stars","-"
"246","Tyquan Thornton",NE,"WR83","2 out of 5 stars","2 out of 5 stars","-"
"247","Hayden Hurst",CIN,"TE24","3 out of 5 stars","3 out of 5 stars","-25"
"248","Ameer Abdullah",LV,"RB76","1 out of 5 stars","1 out of 5 stars","-1"
"249","Tyrion Davis-Price",SF,"RB77","2 out of 5 stars","3 out of 5 stars","-50"
"250","Greg Dortch",ARI,"WR84","4 out of 5 stars","3 out of 5 stars","-"
"251","Tyler Huntley",BAL,"QB32","5 out of 5 stars","5 out of 5 stars","-"
"252","Los Angeles Rams",LAR,"DST19","4 out of 5 stars","4 out of 5 stars","-108"
"253","Raheem Blackshear",CAR,"RB78","3 out of 5 stars","3 out of 5 stars","-"
"254","Eno Benjamin",NO,"RB79","5 out of 5 stars","5 out of 5 stars","-30"
"255","David Johnson",NO,"RB80","5 out of 5 stars","5 out of 5 stars","-"
"256","Green Bay Packers",GB,"DST20","2 out of 5 stars","3 out of 5 stars","-63"
"257","Miami Dolphins",MIA,"DST21","3 out of 5 stars","3 out of 5 stars","-42"
"258","DeAndre Carter",LAC,"WR85","4 out of 5 stars","4 out of 5 stars","-"
"259","Austin Hooper",TEN,"TE25","2 out of 5 stars","2 out of 5 stars","-40"
"260","Marquise Goodwin",SEA,"WR86","3 out of 5 stars","3 out of 5 stars","-"
"261","Kansas City Chiefs",KC,"DST22","5 out of 5 stars","5 out of 5 stars","-36"
"262","Nelson Agholor",NE,"WR87","2 out of 5 stars","2 out of 5 stars","+76"
"263","Dare Ogunbowale",HOU,"RB81","3 out of 5 stars","2 out of 5 stars","-"
"264","Jason Myers",SEA,"K17","3 out of 5 stars","2 out of 5 stars","-"
"265","Colt McCoy",ARI,"QB33","4 out of 5 stars","3 out of 5 stars","-"
"266","Seattle Seahawks",SEA,"DST23","2 out of 5 stars","2 out of 5 stars","0"
"267","Hassan Haskins",TEN,"RB82","3 out of 5 stars","3 out of 5 stars","-5"
"268","James Robinson",NYJ,"RB83","5 out of 5 stars","5 out of 5 stars","-162"
"269","Phillip Dorsett II",HOU,"WR88","4 out of 5 stars","4 out of 5 stars","-"
"270","New York Giants",NYG,"DST24","4 out of 5 stars","5 out of 5 stars","-"
"271","Trace McSorley",ARI,"QB34","4 out of 5 stars","3 out of 5 stars","-"
"272","Tony Jones Jr.",FA,"RB84","-","-","-"
"273","Cade Otton",TB,"TE26","4 out of 5 stars","3 out of 5 stars","-"
"274","Melvin Gordon III",KC,"RB85","4 out of 5 stars","4 out of 5 stars","-175"
"275","Jacksonville Jaguars",JAC,"DST25","5 out of 5 stars","3 out of 5 stars","-"
"276","Odell Beckham Jr.",FA,"WR89","-","-","-78"
"277","Detroit Lions",DET,"DST26","4 out of 5 stars","4 out of 5 stars","-"
"278","Myles Gaskin",MIA,"RB86","3 out of 5 stars","3 out of 5 stars","-28"
"279","Michael Badgley",DET,"K18","1 out of 5 stars","2 out of 5 stars","-"
"280","Benny Snell Jr.",PIT,"RB87","3 out of 5 stars","4 out of 5 stars","-"
"281","Rodrigo Blankenship",FA,"K19","-","-","-68"
"282","Graham Gano",NYG,"K20","5 out of 5 stars","5 out of 5 stars","-"
"283","Chris Evans",CIN,"RB88","2 out of 5 stars","2 out of 5 stars","+32"
"284","Mason Crosby",GB,"K21","4 out of 5 stars","4 out of 5 stars","-"
"285","Olamide Zaccheaus",ATL,"WR90","4 out of 5 stars","4 out of 5 stars","+52"
"286","Byron Pringle",CHI,"WR91","3 out of 5 stars","2 out of 5 stars","+45"
"287","Robbie Gould",SF,"K22","4 out of 5 stars","3 out of 5 stars","-55"
"288","Robbie Anderson",ARI,"WR92","4 out of 5 stars","3 out of 5 stars","-59"
"289","Sony Michel",LAC,"RB89","3 out of 5 stars","2 out of 5 stars","-52"
"290","Jamal Agnew",JAC,"WR93","3 out of 5 stars","4 out of 5 stars","-"
"291","Minnesota Vikings",MIN,"DST27","2 out of 5 stars","4 out of 5 stars","-45"
"292","Arizona Cardinals",ARI,"DST28","2 out of 5 stars","4 out of 5 stars","-2"
"293","Dante Pettis",CHI,"WR94","3 out of 5 stars","2 out of 5 stars","-"
"294","Laviska Shenault Jr.",CAR,"WR95","3 out of 5 stars","3 out of 5 stars","+9"
"295","Equanimeous St. Brown",CHI,"WR96","3 out of 5 stars","2 out of 5 stars","-"
"296","Younghoe Koo",ATL,"K23","3 out of 5 stars","4 out of 5 stars","-99"
"297","Clyde Edwards-Helaire",KC,"RB90","4 out of 5 stars","4 out of 5 stars","-231"
"298","Braxton Berrios",NYJ,"WR97","4 out of 5 stars","4 out of 5 stars","+1"
"299","Randall Cobb",GB,"WR98","2 out of 5 stars","3 out of 5 stars","-43"
"300","Justin Watson",KC,"WR99","2 out of 5 stars","2 out of 5 stars","-"
"301","Trey McBride",ARI,"TE27","3 out of 5 stars","2 out of 5 stars","-"
"302","Gary Brightwell",NYG,"RB91","3 out of 5 stars","2 out of 5 stars","-"
"303","Jordan Akins",HOU,"TE28","4 out of 5 stars","4 out of 5 stars","-"
"304","Tre'Quan Smith",NO,"WR100","3 out of 5 stars","3 out of 5 stars","-"
"305","Chris Boswell",PIT,"K24","3 out of 5 stars","2 out of 5 stars","-21"
"306","Logan Thomas",WAS,"TE29","3 out of 5 stars","3 out of 5 stars","-64"
"307","Elijah Mitchell",SF,"RB92","2 out of 5 stars","3 out of 5 stars","-260"
"308","Malik Willis",TEN,"QB35","1 out of 5 stars","2 out of 5 stars","-28"
"309","D'Ernest Johnson",CLE,"RB93","2 out of 5 stars","2 out of 5 stars","-38"
"310","Dustin Hopkins",LAC,"K25","4 out of 5 stars","3 out of 5 stars","-94"
"311","Trestan Ebner",CHI,"RB94","3 out of 5 stars","4 out of 5 stars","-"
"312","David Bell",CLE,"WR101","3 out of 5 stars","3 out of 5 stars","-68"
"313","John Wolford",LAR,"QB36","2 out of 5 stars","2 out of 5 stars","-"
"314","Malcolm Brown",LAR,"RB95","3 out of 5 stars","4 out of 5 stars","-"
"315","Joe Flacco",NYJ,"QB37","5 out of 5 stars","5 out of 5 stars","-"
"316","Foster Moreau",LV,"TE30","3 out of 5 stars","3 out of 5 stars","-"
"317","Mitch Trubisky",PIT,"QB38","4 out of 5 stars","3 out of 5 stars","-81"
"318","Jordan Love",GB,"QB39","3 out of 5 stars","3 out of 5 stars","-"
"319","Kyle Allen",HOU,"QB40","4 out of 5 stars","4 out of 5 stars","-"
"320","Kalif Raymond",DET,"WR102","3 out of 5 stars","3 out of 5 stars","-"
"321","Bryce Perkins",LAR,"QB41","2 out of 5 stars","2 out of 5 stars","-"
"322","Ke'Shawn Vaughn",TB,"RB96","4 out of 5 stars","4 out of 5 stars","-63"
"323","Snoop Conner",JAC,"RB97","3 out of 5 stars","3 out of 5 stars","-"
"324","Velus Jones Jr.",CHI,"WR103","3 out of 5 stars","2 out of 5 stars","+17"
"325","Duke Johnson Jr.",BUF,"RB98","3 out of 5 stars","3 out of 5 stars","-"
"326","Jeff Driskel",HOU,"QB42","4 out of 5 stars","4 out of 5 stars","-"
"327","Zach Wilson",NYJ,"QB43","5 out of 5 stars","5 out of 5 stars","-119"
"328","Quez Watkins",PHI,"WR104","4 out of 5 stars","4 out of 5 stars","-11"
"329","Darrel Williams",ARI,"RB99","4 out of 5 stars","4 out of 5 stars","-143"
"330","Ronald Jones II",KC,"RB100","4 out of 5 stars","4 out of 5 stars","-99"
"331","Craig Reynolds",DET,"RB101","4 out of 5 stars","4 out of 5 stars","-"
"332","Carson Wentz",WAS,"QB44","3 out of 5 stars","2 out of 5 stars","-105"
"333","Tevin Coleman",SF,"RB102","2 out of 5 stars","3 out of 5 stars","-"
"334","Isaiah Likely",BAL,"TE31","3 out of 5 stars","3 out of 5 stars","-134"
"335","Trey Sermon",PHI,"RB103","2 out of 5 stars","2 out of 5 stars","+4"
"336","Julius Chestnut",TEN,"RB104","3 out of 5 stars","3 out of 5 stars","-"
"337","Kendall Hinton",DEN,"WR105","4 out of 5 stars","4 out of 5 stars","-"
